m/z,Intensity,Time
5597.919947555943, 1930.2594675665541, 42.16354054617826
5598.346983836062, 1900.518866959812, 42.165140546178264
5598.774036422763, 1873.1097930940455, 42.16674054617827
5599.2011053160495, 1844.064560111805, 42.16834054617827
5599.628190515919, 1817.9865698605863, 42.169940546178275
5600.055292022374, 1797.6572928383955, 42.17154054617828
5600.482409835411, 1777.1337219211239, 42.17314054617828
5600.909543955033, 1762.2446739612094, 42.174740546178285
5601.33669438124, 1750.1762961448, 42.17634054617829
5601.763861114028, 1739.5958005249342, 42.17794054617829
5602.191044153401, 1732.548385997205, 42.179540546178295
5602.618243499358, 1726.5440229062274, 42.1811405461783
5603.0454591519, 1721.5366942768517, 42.1827405461783
5603.472691111025, 1719.4471827385212, 42.184340546178305
5603.8999393767335, 1716.9111361079863, 42.18594054617831
5604.327203949027, 1715.3516719500967, 42.18754054617831
5604.754484827903, 1713.2280737635067, 42.189140546178315
5605.181782013363, 1707.6259331219958, 42.19074054617832
5605.609095505407, 1701.065957664383, 42.19234054617832
5606.036425304036, 1697.5601458908545, 42.193940546178325
5606.463771409249, 1693.335105839043, 42.19554054617833
5606.891133821044, 1689.4850189180902, 42.19714054617833
5607.318512539423, 1687.7500085216623, 42.198740546178335
5607.745907564388, 1685.1832839076937, 42.20034054617834
5608.173318895935, 1685.5497153764875, 42.20194054617834
5608.600746534066, 1682.613150628899, 42.203540546178345
5609.028190478783, 1676.6905954937451, 42.20514054617835
5609.455650730081, 1671.5707809251119, 42.20674054617835
5609.883127287963, 1660.6477144902344, 42.208340546178356
5610.310620152431, 1644.4821215529878, 42.20994054617836
5610.738129323482, 1626.9428366908683, 42.21154054617836
5611.165654801117, 1609.3882128370324, 42.213140546178366
5611.593196585334, 1593.200463578417, 42.21474054617837
5612.0207546761385, 1584.0516071854659, 42.21634054617837
5612.448329073524, 1581.329788321914, 42.217940546178376
5612.875919777494, 1586.395064253332, 42.21954054617838
5613.303526788048, 1591.2882026110371, 42.22114054617838
5613.731150105187, 1595.421208712547, 42.222740546178386
5614.158789728908, 1598.6509186351707, 42.22434054617839
5614.586445659214, 1599.6070491188602, 42.22594054617839
5615.014117896103, 1598.58785833589, 42.227540546178396
5615.441806439578, 1603.0685482496506, 42.2291405461784
5615.869511289635, 1606.4567610866825, 42.2307405461784
5616.297232446276, 1615.5084705320928, 42.232340546178406
5616.724969909501, 1623.5563281862496, 42.23394054617841
5617.15272367931, 1632.4307870607086, 42.23554054617841
5617.580493755703, 1637.472202338344, 42.237140546178416
5618.00828013868, 1642.0040222244945, 42.23874054617842
5618.436082828241, 1644.8178750383477, 42.24034054617842
5618.863901824385, 1648.7156832668647, 42.24194054617843
5619.291737127113, 1649.2934519548694, 42.24354054617843
5619.719588736425, 1655.5347172512531, 42.24514054617843
5620.147456652321, 1660.5880628557795, 42.24674054617844
5620.575340874801, 1664.407471793299, 42.24834054617844
